// Made in NPC Maker by BowieD
GUID f5c47a455a2d4d95b02bfe0c9eeae790
Response_143_Condition_0_Type Quest
Response_143_Condition_0_ID 14840
Response_143_Condition_0_Status Completed
Response_143_Condition_0_Logic Equal
Response_143_Condition_0_Ignore_NPC False

Response_143_Condition_1_Type Quest
Response_143_Condition_1_ID 14044
Response_143_Condition_1_Status Completed
Response_143_Condition_1_Logic Equal
Response_143_Condition_1_Ignore_NPC False

Response_143_Rewards 1
Response_143_Reward_0_Type Quest
Response_143_Reward_0_ID 14840

Response_144_Dialogue 12136
Response_144_Quest 14841
Response_144_Conditions 2
Response_144_Condition_0_Type Quest
Response_144_Condition_0_ID 14841
Response_144_Condition_0_Status None
Response_144_Condition_0_Logic Equal
Response_144_Condition_0_Ignore_NPC False

Response_144_Condition_1_Type Quest
Response_144_Condition_1_ID 14044
Response_144_Condition_1_Status Completed
Response_144_Condition_1_Logic Equal
Response_144_Condition_1_Ignore_NPC False

Response_144_Rewards 1
Response_144_Reward_0_Type Quest
Response_144_Reward_0_ID 14841

Response_145_Dialogue 12136
Response_145_Quest 14841
Response_145_Conditions 1
Response_145_Condition_0_Type Quest
Response_145_Condition_0_ID 14841
Response_145_Condition_0_Status Ready
Response_145_Condition_0_Logic Equal
Response_145_Condition_0_Ignore_NPC False
Response_145_Condition_0_Reset 

Response_146_Dialogue 12136
Response_146_Quest 14841
Response_146_Conditions 2
Response_146_Condition_0_Type Quest
Response_146_Condition_0_ID 14841
Response_146_Condition_0_Status Completed
Response_146_Condition_0_Logic Equal
Response_146_Condition_0_Ignore_NPC False

Response_146_Condition_1_Type Quest
Response_146_Condition_1_ID 14044
Response_146_Condition_1_Status Completed
Response_146_Condition_1_Logic Equal
Response_146_Condition_1_Ignore_NPC False

Response_146_Rewards 1
Response_146_Reward_0_Type Quest
Response_146_Reward_0_ID 14841

Response_147_Dialogue 12136
Response_147_Quest 14842
Response_147_Conditions 2
Response_147_Condition_0_Type Quest
Response_147_Condition_0_ID 14842
Response_147_Condition_0_Status None
Response_147_Condition_0_Logic Equal
Response_147_Condition_0_Ignore_NPC False

Response_147_Condition_1_Type Quest
Response_147_Condition_1_ID 14044
Response_147_Condition_1_Status Completed
Response_147_Condition_1_Logic Equal
Response_147_Condition_1_Ignore_NPC False

Response_147_Rewards 1
Response_147_Reward_0_Type Quest
Response_147_Reward_0_ID 14842

Response_148_Dialogue 12136
Response_148_Quest 14842
Response_148_Conditions 1
Response_148_Condition_0_Type Quest
Response_148_Condition_0_ID 14842
Response_148_Condition_0_Status Ready
Response_148_Condition_0_Logic Equal
Response_148_Condition_0_Ignore_NPC False
Response_148_Condition_0_Reset 

Response_149_Dialogue 12136
Response_149_Quest 14842
Response_149_Conditions 2
Response_149_Condition_0_Type Quest
Response_149_Condition_0_ID 14842
Response_149_Condition_0_Status Completed
Response_149_Condition_0_Logic Equal
Response_149_Condition_0_Ignore_NPC False

Response_149_Condition_1_Type Quest
Response_149_Condition_1_ID 14044
Response_149_Condition_1_Status Completed
Response_149_Condition_1_Logic Equal
Response_149_Condition_1_Ignore_NPC False

Response_149_Rewards 1
Response_149_Reward_0_Type Quest
Response_149_Reward_0_ID 14842

